Date,Mode,Role,God,Enemy,K,D,A,Duration,Result
12/31/2025,Conquest,Support,Yemoja,Jormungandr,1,0,2,0:18:31,Lose 
12/31/2025,Conquest,Solo,Mulan,Nemsis,8,5,3,0:23:54,Win
12/31/2025,Conquest,Carry,Sol,Neith,16,8,11,0:44:11,Win
12/31/2025,Conquest,Solo,Mulan,Mordred,0,2,0,0:12:44,Lose 
12/31/2025,Conquest,Solo,Mulan,Hercules,3,7,5,0:31:42,Lose 
1/1/2026,Conquest,Solo,Mulan,Sun Wukong,1,8,4,0:27:50,Lose 
1/1/2026,Conquest,Carry,Sol,Cupid,7,7,12,0:39:33,Win
1/1/2026,Conquest,Middle,Sol,Neith,0,9,3,0:37:08,Lose 
1/2/2026,Conquest,Solo,Mulan,Cerberus,4,10,10,0:44:17,Lose 
1/4/2026,Conquest,Solo,Bellona,Mordred,8,7,13,0:36:57,Win
1/4/2026,Conquest,Solo,Bellona,Artio,3,5,10,0:33:40,Win
1/7/2026,Conquest,Solo,Bellona,Thor,2,3,1,0:18:28,Win
1/7/2026,Conquest,Solo,Bellona,Jormungandr,2,5,2,0:18:51,Lose 
1/7/2026,Conquest,Carry,Sol,Danzaburou,4,17,7,0:54:14,Lose 
1/10/2025,Conquest,Solo,Bellona,Amaterasu,9,5,11,0:38:36,Win
1/10/2025,Conquest,Solo,Bellona,Hua Mulan,2,5,4,0:29:12,Win
1/10/2025,Conquest,Solo,Amaterasu,Hades,0,2,0,0:12:59,Win
1/10/2025,Conquest,Carry,Jin Wei,Ullr,5,8,8,0:33:37,Lose 
1/11/2025,Conquest,Jungle,Nemisis,Loki,0,1,0,0:13:55,Win
1/11/2025,Conquest,Support,Yemoja,Geb,0,5,3,0:26:10,Lose 
1/21/2026,Conquest,Carry,Jing Wei,Discordia,6,9,5,0:38:03,Lose 
1/22/2026,Conquest,Solo,Bellona,Danzaburou,12,5,13,0:36:27,Win
1/25/2026,Conquest,Solo,Bellona,Sun Wukong,0,1,1,0:18:07,Win
1/25/2026,Conquest,Jungle,Bellona,Tsukuyomi,4,7,12,0:35:56,Lose 
1/26/2026,Conquest,Solo,Bellona,Osiris,17,5,10,0:39:48,Win
1/26/2026,Conquest,Middle,Eset,Nu Wa,5,7,7,0:38:18,Lose 
1/26/2026,Conquest,Solo,Bellona,Sun Wukong,10,10,11,0:48:14,Win
1/26/2026,Conquest,Solo,Bellona,Mulan,1,5,0,0:18:34,Lose 
1/26/2026,Conquest,Middle,Eset,Danzaburou,1,11,5,0:36:56,Lose 
1/27/2026,Conquest,Solo,Bellona,Baron Samedi,14,6,19,0:43:34,Win
1/27/2026,Conquest,Solo,Bellona,Mulan,2,1,0,0:13:52,Lose 
1/27/2026,Conquest,Solo,Bellona,Kukulkan,8,4,6,0:37:22,Win
1/27/2026,Conquest,Solo,Bellona,Thor,1,1,0,0:15:13,Win
1/27/2026,Conquest,Solo,Bellona,Cerberus,5,6,12,0:48:06,Win
1/28/2026,Conquest,Solo,Bellona,Chiron,6,6,14,0:34:20,Win
1/28/2026,Conquest,Support,Yemoja,Eset,2,0,11,0:18:07,Win
1/28/2026,Conquest,Solo,Bellona,Chaac,1,2,0,0:26:07,Lose 
1/28/2026,Conquest,Support,Yemoja,Khepri,4,5,28,0:57:27,Win
1/28/2026,Conquest,Support,Yemoja,Sobek,0,4,1,0:20:38,Lose 
1/29/2026,Conquest,Solo,Bellona,Amaterasu,3,6,1,0:37:36,Lose 
2/2/2026,Conquest,Support,Yemoja,Achilles,2,2,3,0:19:27,Lose 
2/2/2026,Conquest,Solo,Bellona,Hou Yi,11,9,16,0:50:26,Win
2/2/2026,Conquest,Solo,Bellona,Thor,1,7,1,0:26:24,Lose 
2/3/2026,Conquest,Support,Yemoja,Khepri,1,3,9,0:23:02,Win
2/5/2026,Conquest,Solo,Amaterasu,Osiris,1,8,2,0:35:34,Lose 
2/10/2026,Conquest,Solo,Mulan,Bellona,6,2,4,0:25:26,Win
2/10/2026,Conquest,Middle,Hecate,Discordia,2,6,0,0:22:39,Lose 
2/10/2026,Conquest,Support,Aphrodite,Ganesha,4,4,18,0:32:52,Win
2/10/2026,Conquest,Solo,Mulan,NeZha,11,6,13,0:34:01,Win
2/15/2026,Conquest,Support,Aphrodite,Sylvanus,2,3,18,0:43:55,Win
2/16/2026,Conquest,Support,Aphrodite,Artio,0,8,5,0:33:09,Lose 
2/16/2026,Conquest,Solo,Mulan,NeZha,1,5,0,0:18:02,Lose 
